username,bio,followers_count,following_count,is_private,posts_count,fake
userbqfs0,Click here for free gifts!!!,18,1376,0,9,1
botam1i2,Win a free iPhone today!!!,16,1805,1,2,1
danjohnson39,Entrepreneur and startup founder.,5600,1531,0,325,0
mikejohnson38,Travel junkie exploring the world.,5301,1733,1,256,0
fakeeemik,Click here for free gifts!!!,42,1103,0,0,1
spam07cnh,Buy followers here! http://fakefollowers.com,25,830,1,2,1
mikewilliams99,Tech enthusiast and blogger.,7634,1419,0,384,0
botqwtsq,Click here for free gifts!!!,32,1283,0,3,1
katejones90,Music lover and artist.,2452,1820,0,322,0
testk2iv5,Earn $$$ fast and easy!!!,152,1948,0,4,1
mikewilliams2,Fitness trainer and nutrition expert.,6545,814,0,398,0
fakeqzgmy,Amazing offers!!! Check this out!!!,53,590,0,3,1
testynf3i,Follow me for more followers!!!,64,1974,0,7,1
testirmmj,Follow me for more followers!!!,76,525,0,8,1
johnjohnson4,Digital marketer and designer.,4148,1192,0,130,0
chrissmith65,Student of life and coding.,794,1429,0,496,0
markjones15,Tech enthusiast and blogger.,4989,1609,0,428,0
lindadavis92,Music lover and artist.,794,1128,0,198,0
johnmiller52,Fitness trainer and nutrition expert.,1574,1232,0,160,0
usercy7xo,Amazing offers!!! Check this out!!!,2,1093,0,8,1
mikesmith68,Bookworm and writer.,292,1206,0,105,0
janedavis76,Travel junkie exploring the world.,4551,1618,0,131,0
katesmith21,Foodie and chef in the making.,5954,1106,0,459,0
dansmith19,Foodie and chef in the making.,1266,607,0,174,0
katejohnson46,Bookworm and writer.,3709,1015,0,364,0
spamgh0rd,Buy followers here! http://fakefollowers.com,65,2383,0,7,1
botwa6n0,Win a free iPhone today!!!,171,2122,0,6,1
alicejohnson58,Student of life and coding.,9262,485,1,212,0
teste3asq,Don't miss this opportunity!!!,130,943,0,1,1
fake8ty5g,Visit www.scamsite.com for great deals,172,543,0,6,1
alicewilson48,Love hiking and photography.,5339,1917,0,476,0
danbrown17,Foodie and chef in the making.,8435,238,0,439,0
janewilson12,Student of life and coding.,2060,1372,0,15,0
testuavkt,Get free likes now!,40,682,1,6,1
chrisdavis40,Bookworm and writer.,1219,1550,0,51,0
